mq2,Water Level,Methane (ppm),CO2 (ppm),Dates,Time,Methane Alert,CO2 Alert
532,99.9,20.9,417.36,2022-10-05,07:00:00,False,False
546,33.5,55.99,206.46,2022-10-05,07:30:00,False,False
560,23.7,958.55,1427.32,2022-10-05,08:00:00,False,False
537,68.4,22.63,406.49,2022-10-05,08:30:00,False,False
529,36.6,37.63,351.63,2022-10-05,09:00:00,False,False
521,74.4,40.68,305.85,2022-10-05,09:30:00,False,False
623,12.6,592.87,1329.51,2022-10-05,10:00:00,False,False
637,80.5,185.97,2810.51,2022-10-05,10:30:00,False,False
655,84.5,510.39,1809.43,2022-10-05,11:00:00,False,False
637,39.2,247.62,2770.45,2022-10-05,11:30:00,False,False
668,52.3,702.6,2572.53,2022-10-05,12:00:00,False,False
631,44.4,433.47,2998.26,2022-10-05,12:30:00,False,False
671,88.4,447.83,1957.51,2022-10-05,13:00:00,False,False
614,47.9,203.58,1752.49,2022-10-05,13:30:00,False,False
679,54.2,845.12,1483.32,2022-10-05,14:00:00,False,False
653,49.5,289.97,2068.85,2022-10-05,14:30:00,False,False
645,75.0,654.13,2220.29,2022-10-05,15:00:00,False,False
606,11.8,720.21,2699.09,2022-10-05,15:30:00,False,False
598,48.1,300.22,1152.84,2022-10-05,16:00:00,False,False
540,99.5,65.71,258.91,2022-10-05,16:30:00,False,False
545,9.1,81.87,563.85,2022-10-05,17:00:00,False,False
539,23.0,67.78,317.45,2022-10-05,17:30:00,False,False
538,66.5,55.0,461.84,2022-10-05,18:00:00,False,False
536,53.8,79.25,587.97,2022-10-05,18:30:00,False,False
521,26.5,68.56,331.85,2022-10-05,19:00:00,False,False
452,76.0,32.5,382.47,2022-10-05,19:30:00,False,False
467,24.1,18.43,692.88,2022-10-05,20:00:00,False,False
484,69.7,54.66,279.32,2022-10-05,20:30:00,False,False
491,58.8,18.56,583.43,2022-10-05,21:00:00,False,False
442,71.4,65.13,302.45,2022-10-05,21:30:00,False,False
437,39.9,73.8,758.44,2022-10-05,22:00:00,False,False
549,85.9,30.89,749.86,2022-10-05,22:30:00,False,False
548,47.5,81.58,755.12,2022-10-05,23:00:00,False,False
539,39.9,28.66,217.2,2022-10-05,23:30:00,False,False
557,90.6,207.62,848.38,2022-10-06,00:00:00,False,False
535,20.0,32.96,785.07,2022-10-06,00:30:00,False,False
575,60.0,371.99,1048.67,2022-10-06,01:00:00,False,False
537,70.9,57.38,657.97,2022-10-06,01:30:00,False,False
564,94.7,943.51,2464.82,2022-10-06,02:00:00,False,False
582,36.7,667.59,1769.75,2022-10-06,02:30:00,False,False
585,26.3,215.55,1203.66,2022-10-06,03:00:00,False,False
602,43.0,485.56,1858.45,2022-10-06,03:30:00,False,False
614,10.3,329.2,2664.29,2022-10-06,04:00:00,False,False
596,96.2,362.08,1388.33,2022-10-06,04:30:00,False,False
608,91.7,241.39,881.6,2022-10-06,05:00:00,False,False
574,46.7,817.43,899.6,2022-10-06,05:30:00,False,False
586,77.4,271.85,1759.69,2022-10-06,06:00:00,False,False
568,39.4,324.96,2015.67,2022-10-06,06:30:00,False,False
559,42.9,569.99,1572.56,2022-10-06,07:00:00,False,False
550,92.2,93.41,609.92,2022-10-06,07:30:00,False,False
561,97.6,452.06,1572.76,2022-10-06,08:00:00,False,False
565,15.0,738.84,1750.84,2022-10-06,08:30:00,False,False
555,18.8,883.85,803.43,2022-10-06,09:00:00,False,False
547,32.8,50.84,689.28,2022-10-06,09:30:00,False,False
585,98.1,440.56,2039.6,2022-10-06,10:00:00,False,False
635,64.9,211.32,2842.68,2022-10-06,10:30:00,False,False
627,40.3,130.49,2931.43,2022-10-06,11:00:00,False,False
662,99.0,533.56,1255.0,2022-10-06,11:30:00,False,False
697,31.4,771.32,1105.46,2022-10-06,12:00:00,False,False
684,65.5,409.58,1649.9,2022-10-06,12:30:00,False,False
671,73.5,571.63,2249.95,2022-10-06,13:00:00,False,False
739,90.9,3041.39,3729.15,2022-10-06,13:30:00,True,True
686,64.2,623.25,1945.6,2022-10-06,14:00:00,False,False
678,35.0,448.99,2949.83,2022-10-06,14:30:00,False,False
693,90.7,889.22,2108.81,2022-10-06,15:00:00,False,False
683,78.0,123.39,1731.77,2022-10-06,15:30:00,False,False
691,84.5,804.0,2862.89,2022-10-06,16:00:00,False,False
684,15.8,482.84,2544.11,2022-10-06,16:30:00,False,False
661,38.2,140.09,2652.86,2022-10-06,17:00:00,False,False
696,20.1,847.43,2265.52,2022-10-06,17:30:00,False,False
699,18.6,948.7,839.68,2022-10-06,18:00:00,False,False
707,24.2,986.97,1586.29,2022-10-06,18:30:00,False,False
622,92.2,304.26,1273.76,2022-10-06,19:00:00,False,False
669,54.6,905.34,1098.3,2022-10-06,19:30:00,False,False
624,15.5,167.3,1082.4,2022-10-06,20:00:00,False,False
735,68.0,9657.62,9383.55,2022-10-06,20:30:00,True,True
677,76.0,122.2,2809.36,2022-10-06,21:00:00,False,False
749,56.7,4734.22,6916.91,2022-10-06,21:30:00,True,True
796,59.6,7406.02,6334.7,2022-10-06,22:00:00,True,True
839,51.9,6367.89,3191.86,2022-10-06,22:30:00,True,True
811,62.2,1220.43,3969.13,2022-10-06,23:00:00,True,True
779,63.6,9473.05,5914.93,2022-10-06,23:30:00,True,True
747,48.3,5012.61,4813.64,2022-10-07,00:00:00,True,True
613,64.2,718.77,2032.81,2022-10-07,00:30:00,False,False
632,80.4,372.38,1114.03,2022-10-07,01:00:00,False,False
670,94.4,119.74,2802.7,2022-10-07,01:30:00,False,False
671,66.4,495.39,1738.94,2022-10-07,02:00:00,False,False
687,27.5,271.54,1782.6,2022-10-07,02:30:00,False,False
731,60.8,2207.19,7122.31,2022-10-07,03:00:00,True,True
705,19.1,457.49,1987.49,2022-10-07,03:30:00,False,False
768,54.7,5622.73,7843.31,2022-10-07,04:00:00,True,True
788,73.6,3441.86,5235.46,2022-10-07,04:30:00,True,True
796,94.5,3718.22,8627.52,2022-10-07,05:00:00,True,True
815,73.6,5622.06,6976.01,2022-10-07,05:30:00,True,True
804,40.6,2808.17,7478.14,2022-10-07,06:00:00,True,True
809,24.4,7746.81,5807.3,2022-10-07,06:30:00,True,True
826,26.7,1502.92,8532.92,2022-10-07,07:00:00,True,True
817,44.7,5219.07,6256.09,2022-10-07,07:30:00,True,True
773,71.9,2566.72,7848.33,2022-10-07,08:00:00,True,True
776,11.3,8479.79,6573.16,2022-10-07,08:30:00,True,True
823,62.2,8550.23,5303.4,2022-10-07,09:00:00,True,True
818,39.9,8114.45,7577.71,2022-10-07,09:30:00,True,True
829,84.3,7552.67,6674.07,2022-10-07,10:00:00,True,True
789,40.2,6056.55,8459.98,2022-10-07,10:30:00,True,True
732,72.7,3659.95,4746.09,2022-10-07,11:00:00,True,True
659,84.6,301.72,2683.6,2022-10-07,11:30:00,False,False
596,36.1,349.84,1979.07,2022-10-07,12:00:00,False,False
622,61.9,274.64,2448.6,2022-10-07,12:30:00,False,False
610,67.1,338.63,2518.63,2022-10-07,13:00:00,False,False
610,8.4,829.19,2362.22,2022-10-07,13:30:00,False,False
627,27.5,624.15,2002.15,2022-10-07,14:00:00,False,False
613,49.0,610.65,2683.08,2022-10-07,14:30:00,False,False
436,30.7,19.44,412.4,2022-10-07,15:00:00,False,False
449,53.5,69.27,373.63,2022-10-07,15:30:00,False,False
439,53.1,16.89,209.75,2022-10-07,16:00:00,False,False
441,62.4,38.79,209.71,2022-10-07,16:30:00,False,False
436,49.3,73.72,583.41,2022-10-07,17:00:00,False,False
430,16.1,15.92,658.19,2022-10-07,17:30:00,False,False
410,49.0,22.04,428.79,2022-10-07,18:00:00,False,False
410,71.9,71.68,718.09,2022-10-07,18:30:00,False,False
410,61.5,53.55,606.36,2022-10-07,19:00:00,False,False
435,87.8,81.86,456.48,2022-10-07,19:30:00,False,False
440,39.1,54.51,516.09,2022-10-07,20:00:00,False,False
435,52.6,15.39,475.31,2022-10-07,20:30:00,False,False
410,84.5,12.24,705.25,2022-10-07,21:00:00,False,False
435,24.8,29.29,525.15,2022-10-07,21:30:00,False,False
440,73.2,51.34,204.25,2022-10-07,22:00:00,False,False
435,17.8,97.34,537.9,2022-10-07,22:30:00,False,False
435,50.7,23.17,620.07,2022-10-07,23:00:00,False,False
492,16.3,86.1,596.55,2022-10-07,23:30:00,False,False
523,5.6,69.49,393.75,2022-10-08,00:00:00,False,False
495,81.0,89.64,386.67,2022-10-08,00:30:00,False,False
487,70.5,93.14,376.61,2022-10-08,01:00:00,False,False
501,86.6,73.77,645.18,2022-10-08,01:30:00,False,False
499,70.0,71.51,759.74,2022-10-08,02:00:00,False,False
502,33.4,90.95,698.45,2022-10-08,02:30:00,False,False
492,29.5,63.55,702.3,2022-10-08,03:00:00,False,False
515,68.6,70.56,270.82,2022-10-08,03:30:00,False,False
507,44.9,59.51,357.67,2022-10-08,04:00:00,False,False
499,24.7,67.11,211.3,2022-10-08,04:30:00,False,False
541,64.6,21.23,740.1,2022-10-08,05:00:00,False,False
546,83.8,65.59,352.04,2022-10-08,05:30:00,False,False
517,63.9,21.4,478.29,2022-10-08,06:00:00,False,False
565,72.0,724.58,1331.6,2022-10-08,06:30:00,False,False
569,48.3,735.13,2080.11,2022-10-08,07:00:00,False,False
567,10.4,296.13,962.63,2022-10-08,07:30:00,False,False
548,32.8,24.53,439.35,2022-10-08,08:00:00,False,False
546,57.8,36.0,428.66,2022-10-08,08:30:00,False,False
517,96.2,25.39,234.26,2022-10-08,09:00:00,False,False
562,98.0,945.75,2070.74,2022-10-08,09:30:00,False,False
569,17.7,441.76,2385.13,2022-10-08,10:00:00,False,False
567,46.0,727.01,1038.8,2022-10-08,10:30:00,False,False
575,52.0,874.86,1740.95,2022-10-08,11:00:00,False,False
540,48.7,43.76,644.59,2022-10-08,11:30:00,False,False
612,27.3,727.37,1698.52,2022-10-08,12:00:00,False,False
629,65.4,581.86,2616.3,2022-10-08,12:30:00,False,False
685,68.1,767.5,1135.1,2022-10-08,13:00:00,False,False
696,25.4,577.95,1121.09,2022-10-08,13:30:00,False,False
689,70.0,448.4,2097.33,2022-10-08,14:00:00,False,False
729,43.7,850.65,1626.36,2022-10-08,14:30:00,False,False
702,28.0,295.91,1427.93,2022-10-08,15:00:00,False,False
755,95.6,5453.44,5058.17,2022-10-08,15:30:00,True,True
762,35.9,1355.33,6950.16,2022-10-08,16:00:00,True,True
678,95.9,695.06,2280.27,2022-10-08,16:30:00,False,False
632,26.1,891.48,2392.72,2022-10-08,17:00:00,False,False
586,69.3,817.65,1846.8,2022-10-08,17:30:00,False,False
614,50.5,169.67,1480.95,2022-10-08,18:00:00,False,False
599,11.6,250.7,2013.39,2022-10-08,18:30:00,False,False
474,70.2,64.21,201.51,2022-10-08,19:00:00,False,False
467,53.9,19.92,510.32,2022-10-08,19:30:00,False,False
470,76.4,24.38,340.99,2022-10-08,20:00:00,False,False
537,95.5,49.09,642.35,2022-10-08,20:30:00,False,False
525,13.4,87.59,450.33,2022-10-08,21:00:00,False,False
513,6.3,45.62,563.28,2022-10-08,21:30:00,False,False
499,8.2,96.32,244.31,2022-10-08,22:00:00,False,False
569,74.4,779.7,1771.04,2022-10-08,22:30:00,False,False
550,7.1,29.54,565.46,2022-10-08,23:00:00,False,False
565,79.0,161.74,1511.95,2022-10-08,23:30:00,False,False
553,35.4,244.66,2681.8,2022-10-09,00:00:00,False,False
562,8.0,479.47,1981.61,2022-10-09,00:30:00,False,False
546,14.6,49.31,237.66,2022-10-09,01:00:00,False,False
566,26.8,272.1,1555.93,2022-10-09,01:30:00,False,False
563,23.9,380.01,901.23,2022-10-09,02:00:00,False,False
569,96.0,874.2,2733.12,2022-10-09,02:30:00,False,False
559,19.7,580.74,1917.66,2022-10-09,03:00:00,False,False
570,29.6,710.63,1131.96,2022-10-09,03:30:00,False,False
584,65.5,503.14,2036.09,2022-10-09,04:00:00,False,False
562,31.1,534.44,1948.18,2022-10-09,04:30:00,False,False
587,94.8,575.88,2370.91,2022-10-09,05:00:00,False,False
536,99.2,93.34,509.42,2022-10-09,05:30:00,False,False
562,51.1,377.26,1842.78,2022-10-09,06:00:00,False,False
593,58.6,892.58,1720.0,2022-10-09,06:30:00,False,False
611,78.3,369.51,2249.78,2022-10-09,07:00:00,False,False
596,69.6,233.25,2945.15,2022-10-09,07:30:00,False,False
621,53.6,724.41,2224.95,2022-10-09,08:00:00,False,False
609,71.2,782.7,1671.19,2022-10-09,08:30:00,False,False
636,45.9,841.26,2787.76,2022-10-09,09:00:00,False,False
662,68.2,201.91,1655.45,2022-10-09,09:30:00,False,False
670,54.7,520.12,859.78,2022-10-09,10:00:00,False,False
672,38.7,955.42,2675.67,2022-10-09,10:30:00,False,False
616,30.6,580.81,1681.5,2022-10-09,11:00:00,False,False
702,73.2,509.75,2251.92,2022-10-09,11:30:00,False,False
697,79.4,176.44,1286.1,2022-10-09,12:00:00,False,False
697,23.2,611.82,1755.85,2022-10-09,12:30:00,False,False
729,51.8,590.87,2616.33,2022-10-09,13:00:00,False,False
675,44.1,133.84,2937.49,2022-10-09,13:30:00,False,False
696,38.4,919.12,1433.02,2022-10-09,14:00:00,False,False
639,25.9,421.79,939.01,2022-10-09,14:30:00,False,False
607,22.0,540.38,971.19,2022-10-09,15:00:00,False,False
600,12.3,155.33,1612.13,2022-10-09,15:30:00,False,False
601,98.1,741.34,1118.97,2022-10-09,16:00:00,False,False
591,7.7,663.44,1361.88,2022-10-09,16:30:00,False,False
592,75.4,246.13,2757.73,2022-10-09,17:00:00,False,False
581,82.6,396.54,1042.01,2022-10-09,17:30:00,False,False
590,47.3,490.75,1013.14,2022-10-09,18:00:00,False,False
604,78.5,673.27,1864.74,2022-10-09,18:30:00,False,False
457,36.6,22.71,769.88,2022-10-09,19:00:00,False,False
465,99.6,37.14,506.5,2022-10-09,19:30:00,False,False
468,78.0,12.82,262.9,2022-10-09,20:00:00,False,False
462,64.9,24.6,453.98,2022-10-09,20:30:00,False,False
442,47.6,65.9,701.17,2022-10-09,21:00:00,False,False
469,24.6,90.26,322.86,2022-10-09,21:30:00,False,False
474,39.4,52.09,635.09,2022-10-09,22:00:00,False,False
475,46.8,33.91,371.72,2022-10-09,22:30:00,False,False
482,89.1,28.24,652.95,2022-10-09,23:00:00,False,False
478,57.0,42.59,211.11,2022-10-09,23:30:00,False,False
493,5.0,66.4,616.89,2022-10-10,00:00:00,False,False
478,47.8,49.24,462.39,2022-10-10,00:30:00,False,False
487,31.1,50.41,259.36,2022-10-10,01:00:00,False,False
436,21.1,33.41,468.65,2022-10-10,01:30:00,False,False
496,87.6,22.36,425.27,2022-10-10,02:00:00,False,False
481,13.2,64.4,250.45,2022-10-10,02:30:00,False,False
497,30.6,43.38,335.65,2022-10-10,03:00:00,False,False
494,72.7,31.5,699.46,2022-10-10,03:30:00,False,False
497,5.3,70.08,479.08,2022-10-10,04:00:00,False,False
508,79.8,50.88,504.88,2022-10-10,04:30:00,False,False
504,11.4,60.7,376.08,2022-10-10,05:00:00,False,False
500,61.5,86.73,624.77,2022-10-10,05:30:00,False,False
520,27.1,29.52,435.56,2022-10-10,06:00:00,False,False
509,34.1,22.38,594.25,2022-10-10,06:30:00,False,False
523,37.6,69.74,378.75,2022-10-10,07:00:00,False,False
522,95.5,31.81,615.5,2022-10-10,07:30:00,False,False
499,9.4,32.8,311.32,2022-10-10,08:00:00,False,False
509,24.7,89.69,720.7,2022-10-10,08:30:00,False,False
528,50.5,47.35,406.71,2022-10-10,09:00:00,False,False
525,10.3,81.29,316.79,2022-10-10,09:30:00,False,False
521,31.0,91.46,674.43,2022-10-10,10:00:00,False,False
511,48.5,31.73,785.04,2022-10-10,10:30:00,False,False
534,27.0,34.92,680.15,2022-10-10,11:00:00,False,False
521,20.0,54.6,689.03,2022-10-10,11:30:00,False,False
533,17.6,90.78,664.67,2022-10-10,12:00:00,False,False
621,72.0,320.02,2971.17,2022-10-10,12:30:00,False,False
701,78.4,186.36,1628.53,2022-10-10,13:00:00,False,False
704,52.8,136.95,2656.23,2022-10-10,13:30:00,False,False
707,20.5,338.08,2141.06,2022-10-10,14:00:00,False,False
686,25.7,780.82,1528.27,2022-10-10,14:30:00,False,False
674,56.6,381.99,2888.44,2022-10-10,15:00:00,False,False
669,72.1,246.66,1632.25,2022-10-10,15:30:00,False,False
812,57.4,1704.44,4768.83,2022-10-10,16:00:00,True,True
975,47.4,5585.93,4135.69,2022-10-10,16:30:00,True,True
967,23.7,1325.71,8641.8,2022-10-10,17:00:00,True,True
951,61.9,1138.7,4614.7,2022-10-10,17:30:00,True,True
989,10.8,7394.29,9273.15,2022-10-10,18:00:00,True,True
1019,25.2,2748.97,4839.39,2022-10-10,18:30:00,True,True
1064,92.2,5948.39,8222.51,2022-10-10,19:00:00,True,True
1127,51.4,5977.26,4034.33,2022-10-10,19:30:00,True,True
1176,21.2,8186.35,4821.92,2022-10-10,20:00:00,True,True
1180,14.5,5723.4,5532.79,2022-10-10,20:30:00,True,True
1240,74.7,7844.65,8093.93,2022-10-10,21:00:00,True,True
1256,19.7,5289.71,6192.39,2022-10-10,21:30:00,True,True
1308,97.9,3153.29,6029.89,2022-10-10,22:00:00,True,True
1285,63.6,8392.38,8993.15,2022-10-10,22:30:00,True,True
1354,91.1,7904.68,6835.24,2022-10-10,23:00:00,True,True
1364,83.1,6553.38,7488.13,2022-10-10,23:30:00,True,True
1367,66.8,1753.53,4091.84,2022-10-11,00:00:00,True,True
1388,36.9,5455.9,6249.78,2022-10-11,00:30:00,True,True
1128,72.6,4133.38,5615.34,2022-10-11,01:00:00,True,True
1028,45.9,3858.56,3433.82,2022-10-11,01:30:00,True,True
1016,55.9,7132.36,9332.13,2022-10-11,02:00:00,True,True
1048,35.8,8812.96,5654.36,2022-10-11,02:30:00,True,True
995,82.0,2605.66,7731.08,2022-10-11,03:00:00,True,True
990,37.5,2081.12,8326.29,2022-10-11,03:30:00,True,True
1012,6.4,8692.54,9215.58,2022-10-11,04:00:00,True,True
999,74.7,8536.84,3954.52,2022-10-11,04:30:00,True,True
942,36.8,6858.73,4374.34,2022-10-11,05:00:00,True,True
957,66.9,1041.79,8171.93,2022-10-11,05:30:00,True,True
1014,32.1,9053.78,5967.58,2022-10-11,06:00:00,True,True
1032,80.0,6397.35,8227.7,2022-10-11,06:30:00,True,True
1044,82.5,2497.28,3165.38,2022-10-11,07:00:00,True,True
1013,7.2,7278.41,4976.96,2022-10-11,07:30:00,True,True
1067,11.7,9224.98,3821.57,2022-10-11,08:00:00,True,True
1042,90.6,8154.79,6339.86,2022-10-11,08:30:00,True,True
996,21.5,7982.02,5370.24,2022-10-11,09:00:00,True,True
969,36.6,1761.55,4306.17,2022-10-11,09:30:00,True,True
940,76.6,5915.2,5223.42,2022-10-11,10:00:00,True,True
969,55.6,3247.57,9830.06,2022-10-11,10:30:00,True,True
936,69.5,4910.82,4353.06,2022-10-11,11:00:00,True,True
922,92.3,6161.57,7026.2,2022-10-11,11:30:00,True,True
947,17.8,9239.39,5386.15,2022-10-11,12:00:00,True,True
982,17.8,3423.17,9569.48,2022-10-11,12:30:00,True,True
958,77.5,5843.72,6381.52,2022-10-11,13:00:00,True,True
974,93.8,9362.52,7878.62,2022-10-11,13:30:00,True,True
924,38.5,5574.54,8526.95,2022-10-11,14:00:00,True,True
990,11.7,6069.13,7742.94,2022-10-11,14:30:00,True,True
1015,60.7,2668.77,9593.39,2022-10-11,15:00:00,True,True
960,34.2,8276.83,3893.4,2022-10-11,15:30:00,True,True
981,50.7,8799.91,4980.27,2022-10-11,16:00:00,True,True
970,16.5,2115.24,9713.16,2022-10-11,16:30:00,True,True
925,43.0,7612.03,3208.75,2022-10-11,17:00:00,True,True
946,13.3,7041.05,3412.65,2022-10-11,17:30:00,True,True
880,43.8,5490.94,4877.83,2022-10-11,18:00:00,True,True
929,41.3,7207.83,8102.48,2022-10-11,18:30:00,True,True
896,57.1,1977.28,8698.92,2022-10-11,19:00:00,True,True
734,27.1,8470.33,4708.58,2022-10-11,19:30:00,True,True
718,19.3,393.43,2320.57,2022-10-11,20:00:00,False,False
674,68.8,506.08,2872.88,2022-10-11,20:30:00,False,False
682,35.9,159.15,2874.44,2022-10-11,21:00:00,False,False
657,35.6,617.54,1491.12,2022-10-11,21:30:00,False,False
692,99.8,152.08,2270.96,2022-10-11,22:00:00,False,False
683,57.1,489.47,1293.85,2022-10-11,22:30:00,False,False
772,8.5,9681.43,3067.31,2022-10-11,23:00:00,True,True
791,26.6,1171.35,7851.51,2022-10-11,23:30:00,True,True
1015,48.7,8961.4,6260.24,2022-10-12,00:00:00,True,True
1055,6.6,4309.79,5903.27,2022-10-12,00:30:00,True,True
